# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

.phase5_uncertainty_consumer|DEAD|NO_FILE
.phase6_configuration_consumer|DEAD|NO_FILE
.phase8_30_00_signal_enriched_recommendations|DEAD|NO_FILE
.phase9_reporting_consumer|DEAD|NO_FILE
.event|DEAD|NO_FILE
.contracts|DEAD|NO_FILE
.bus|DEAD|NO_FILE
queue|DEAD|NO_FILE
. signal|DEAD|NO_FILE
typing_extensions|DEAD|NO_FILE
.harmonization_validator|DEAD|NO_FILE
fnmatch|DEAD|NO_FILE
..validators.depuration|DEAD|NO_FILE
..wiring.wiring_config|DEAD|NO_FILE
..vocabulary.signal_vocabulary|DEAD|NO_FILE
..vocabulary.capability_vocabulary|DEAD|NO_FILE
..vehicles|DEAD|NO_FILE
..consumers|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.consumption_proof|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/audit/consumption_proof.py
.irrigation_map|DEAD|NO_FILE
..vehicles.base_vehicle|DEAD|NO_FILE
.vocabulary.signal_vocabulary|DEAD|NO_FILE
.vocabulary.capability_vocabulary|DEAD|NO_FILE
.vocabulary.alignment_checker|DEAD|NO_FILE
.irrigation.irrigation_map|DEAD|NO_FILE
.irrigation.irrigation_executor|DEAD|NO_FILE
.vehicles.signal_context_scoper|DEAD|NO_FILE
.scripts.generate_contracts|DEAD|NO_FILE
.generate_contracts|DEAD|NO_FILE
.. core.contracts|DEAD|NO_FILE
..irrigation. irrigation_map|DEAD|NO_FILE
.audit.questionnaire_access_audit|DEAD|NO_FILE
.types.structural|DEAD|NO_FILE
.types.integrity|DEAD|NO_FILE
.types.epistemic|DEAD|NO_FILE
.types.contrast|DEAD|NO_FILE
.types.operational|DEAD|NO_FILE
.types.consumption|DEAD|NO_FILE
.client|DEAD|NO_FILE
tenacity|DEAD|NO_FILE
.structural|DEAD|NO_FILE
.integrity|DEAD|NO_FILE
.epistemic|DEAD|NO_FILE
.contrast|DEAD|NO_FILE
.operational|DEAD|NO_FILE
.consumption|DEAD|NO_FILE
.orchestration|DEAD|NO_FILE
... core.signal|DEAD|NO_FILE
.depuration|DEAD|NO_FILE
.base_vehicle|DEAD|NO_FILE
.signal_registry|DEAD|NO_FILE
.signal_context_scoper|DEAD|NO_FILE
.signal_evidence_extractor|DEAD|NO_FILE
.signal_intelligence_layer|DEAD|NO_FILE
.signal_loader|DEAD|NO_FILE
.signal_quality_metrics|DEAD|NO_FILE
.signal_enhancement_integrator|DEAD|NO_FILE
.signal_irrigator|DEAD|NO_FILE
.signals|DEAD|NO_FILE
.contrast.contrast_signals_vehicle|DEAD|NO_FILE
.structural.schema_validator_vehicle|DEAD|NO_FILE
.. core.signal|DEAD|NO_FILE
.contrast_signals_vehicle|DEAD|NO_FILE
..base_vehicle|DEAD|NO_FILE
...signal_types.types.contrast|DEAD|NO_FILE
..signal_types.types.structural|DEAD|NO_FILE
..signal_types.types.epistemic|DEAD|NO_FILE
farfan_pipeline.infrastructure.extractors.empirical_extractor_base|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/empirical_extractor_base.py
..signal_types.types.integrity|DEAD|NO_FILE
.schema_validator_vehicle|DEAD|NO_FILE
...signal_types.types.structural|DEAD|NO_FILE
. signal_vocabulary|DEAD|NO_FILE
.capability_vocabulary|DEAD|NO_FILE
.wiring_config|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_registry|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vehicles/signal_registry.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.client|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/client.py
.signal_types.client|DEAD|NO_FILE
.signal_types.cache|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.ports|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/ports.py
farfan_pipeline.infrastructure.irrigation_using_signals.audit_signal_irrigation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/audit_signal_irrigation.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_evidence_extractor|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.visualization_generator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/visualization_generator.py
.base_extractor|DEAD|NO_FILE
.pdm_structural_profile|DEAD|NO_FILE
.modular_resolver|DEAD|NO_FILE
.policy_area_scorer|DEAD|NO_FILE
farfan_pipeline.infrastructure.validators|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/validators/__init__.py
.normative_compliance_validator|DEAD|NO_FILE
platform|DEAD|NO_FILE
fcntl  # Unix|DEAD|NO_FILE
msvcrt  # Windows|DEAD|NO_FILE
.pylint_unreachable_fallback|DEAD|NO_FILE
mypy.plugin|DEAD|NO_FILE
mypy.types|DEAD|NO_FILE
astroid|DEAD|NO_FILE
pylint.checkers|DEAD|NO_FILE
pylint.interfaces|DEAD|NO_FILE
sklearn.ensemble|DEAD|NO_FILE
nltk.corpus|DEAD|NO_FILE
nltk.tokenize|DEAD|NO_FILE
nltk|DEAD|NO_FILE
farfan_pipeline.analysis.factory|DEAD|NO_FILE
PyPDF2|DEAD|NO_FILE
docx|DEAD|NO_FILE
networkx|DEAD|NO_FILE
dowhy|DEAD|NO_FILE
causalnex.inference|DEAD|NO_FILE
causalnex.network|DEAD|NO_FILE
causalnex.structure|DEAD|NO_FILE
causalnex.structure.notears|DEAD|NO_FILE
networkx.drawing.nx_pydot|DEAD|NO_FILE
torch|DEAD|NO_FILE
farfan_pipeline.phases.Phase_00.phase0_00_02_runtime_error_fixes|DEAD|NO_FILE
scipy.stats|DEAD|NO_FILE
sentence_transformers|DEAD|NO_FILE
fitz|DEAD|NO_FILE
pydot|DEAD|NO_FILE
rapidfuzz|DEAD|NO_FILE
farfan_pipeline.inference.bayesian_adapter|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/inference/bayesian_adapter.py
canonic_questionnaire_central.constants|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/constants.py
farfan_pipeline.analysis.retry_handler|DEAD|NO_FILE
farfan_pipeline.methods.embedding_cache_sota|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/embedding_cache_sota.py
contradiction_deteccion|DEAD|NO_FILE
financiero_viabilidad_tablas|DEAD|NO_FILE
retry_handler|DEAD|NO_FILE
farfan_pipeline.methods.causal_inference_dowhy|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/causal_inference_dowhy.py
farfan_pipeline.methods.causal_structure_learning|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/causal_structure_learning.py
farfan_pipeline.methods.heterogeneous_treatment_effects|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/heterogeneous_treatment_effects.py
copy|DEAD|NO_FILE
farfan_pipeline.core.policy_area_canonicalization|DEAD|NO_FILE
pickle|DEAD|NO_FILE
farfan_pipeline.core.canonical_notation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/core/canonical_notation.py
sklearn.metrics.pairwise|DEAD|NO_FILE
decimal|DEAD|NO_FILE
img2table.document|DEAD|NO_FILE
tabula|DEAD|NO_FILE
sklearn.cluster|DEAD|NO_FILE
econml.dml|DEAD|NO_FILE
econml.metalearners|DEAD|NO_FILE
sklearn.linear_model|DEAD|NO_FILE
farfan_pipeline.methods.financiero_viabilidad_tablas|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/financiero_viabilidad_tablas.py
farfan_pipeline.analysis.contradiction_deteccion|DEAD|NO_FILE
farfan_pipeline.methods.config_schemas|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/methods/config_schemas.py
jsonschema|DEAD|NO_FILE
farfan_pipeline.analysis.spc_causal_bridge|DEAD|NO_FILE
farfan_pipeline.orchestration.compatibility|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/compatibility.py
enforcement.enforce_contracts|DEAD|NO_FILE
.equipment_auditor|DEAD|NO_FILE
.audit_runner|DEAD|NO_FILE
farfan_pipeline.orchestration.audit|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/audit/__init__.py
farfan_pipeline.phases.Phase_03.contracts.phase3_10_02_output_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_03/contracts/phase3_10_02_output_contract.py
farfan_pipeline.phases.Phase_00.phase0_30_00_resource_controller|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_30_00_resource_controller.py
farfan_pipeline.phases.Phase_02.registries.questionnaire_signal_registry|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/registries/questionnaire_signal_registry.py
farfan_pipeline.phases.Phase_03.contracts.phase3_10_00_input_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_03/contracts/phase3_10_00_input_contract.py
canonic_questionnaire_central.resolver|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/resolver.py
farfan_pipeline.phases.Phase_02.methods.contradiction_detector|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.methods.temporal_logic|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.methods.bayesian_calculator|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.methods.municipal_analyzer|DEAD|NO_FILE
.scope_alignment_gate|DEAD|NO_FILE
.value_add_gate|DEAD|NO_FILE
.capability_gate|DEAD|NO_FILE
.irrigation_channel_gate|DEAD|NO_FILE
.gate_orchestrator|DEAD|NO_FILE
.gates|DEAD|NO_FILE
.factory|DEAD|NO_FILE
.sisas_integration_hub|DEAD|NO_FILE
farfan_pipeline.phases.Phase_00.phase0_40_00_input_validation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_40_00_input_validation.py
farfan_pipeline.phases.Phase_00.phase0_90_02_bootstrap|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_90_02_bootstrap.py
farfan_pipeline.phases.Phase_00.phase0_90_03_wiring_validator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_90_03_wiring_validator.py
farfan_pipeline.phases.Phase_01.phase1_01_00_cpp_models|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_01/phase1_01_00_cpp_models.py
farfan_pipeline.phases.Phase_01.phase1_17_00_performance_metrics|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_01/phase1_17_00_performance_metrics.py
farfan_pipeline.phases.Phase_01.phase1_16_00_checkpoint_manager|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_01/phase1_16_00_checkpoint_manager.py
farfan_pipeline.phases.Phase_01.phase1_13_00_cpp_ingestion|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_01/phase1_13_00_cpp_ingestion.py
farfan_pipeline.phases.Phase_03.contracts.phase3_input_contract|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.phase3_10_00_thresholds|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.phase3_20_00_score_extractor|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.phase3_30_00_validation|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.phase3_40_00_signal_enrichment|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.phase3_50_00_normative|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.contracts.phase3_output_contract|DEAD|NO_FILE
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_settings|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_10_00_aggregation_settings.py
farfan_pipeline.phases.Phase_04.contracts.phase4_10_00_input_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/contracts/phase4_10_00_input_contract.py
farfan_pipeline.phases.Phase_04.phase4_30_00_aggregation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_30_00_aggregation.py
farfan_pipeline.phases.Phase_04.phase4_30_00_choquet_aggregator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_30_00_choquet_aggregator.py
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation_provenance|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_10_00_aggregation_provenance.py
farfan_pipeline.phases.Phase_04.phase4_10_00_uncertainty_quantification|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_10_00_uncertainty_quantification.py
farfan_pipeline.phases.Phase_04.phase4_60_00_aggregation_validation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/phase4_60_00_aggregation_validation.py
farfan_pipeline.phases.Phase_05.contracts.phase5_10_00_input_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/contracts/phase5_10_00_input_contract.py
farfan_pipeline.phases.Phase_05.phase5_15_00_performance_boost|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/phase5_15_00_performance_boost.py
farfan_pipeline.phases.Phase_05.phase5_10_00_area_aggregation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/phase5_10_00_area_aggregation.py
farfan_pipeline.phases.Phase_05.phase5_00_00_area_score|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/phase5_00_00_area_score.py
farfan_pipeline.phases.Phase_05.phase5_20_00_area_validation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/phase5_20_00_area_validation.py
farfan_pipeline.phases.Phase_05.phase5_40_00_synthesis_engine|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/phase5_40_00_synthesis_engine.py
farfan_pipeline.phases.Phase_05.contracts.phase5_10_02_output_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_05/contracts/phase5_10_02_output_contract.py
farfan_pipeline.phases.Phase_06.phase6_30_00_cluster_aggregator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/phase6_30_00_cluster_aggregator.py
farfan_pipeline.phases.Phase_07.phase7_31_00_performance_metrics|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/phase7_31_00_performance_metrics.py
farfan_pipeline.phases.Phase_07.phase7_30_00_checkpoint_manager|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/phase7_30_00_checkpoint_manager.py
farfan_pipeline.phases.Phase_07.interphase|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/interphase/__init__.py
farfan_pipeline.phases.Phase_07.phase7_20_00_macro_aggregator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/phase7_20_00_macro_aggregator.py
farfan_pipeline.phases.Phase_07.contracts.phase7_10_01_mission_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/contracts/phase7_10_01_mission_contract.py
farfan_pipeline.phases.Phase_07.phase7_32_00_exit_gate_validation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/phase7_32_00_exit_gate_validation.py
farfan_pipeline.phases.Phase_08.phase8_10_00_schema_validation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_08/phase8_10_00_schema_validation.py
farfan_pipeline.phases.Phase_08.phase8_25_00_recommendation_bifurcator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_08/phase8_25_00_recommendation_bifurcator.py
farfan_pipeline.phases.Phase_08.phase8_30_00_signal_enriched_recommendations|DEAD|NO_FILE
farfan_pipeline.phases.Phase_09.contracts.phase9_10_00_input_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_09/contracts/phase9_10_00_input_contract.py
farfan_pipeline.phases.Phase_09.phase9_10_00_report_assembly|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_09/phase9_10_00_report_assembly.py
farfan_pipeline.phases.Phase_09.phase9_10_00_report_generator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_09/phase9_10_00_report_generator.py
farfan_pipeline.phases.Phase_09.phase9_15_00_institutional_entity_annex|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_09/phase9_15_00_institutional_entity_annex.py
farfan_pipeline.phases.Phase_02.contracts.phase2_10_00_input_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/contracts/phase2_10_00_input_contract.py
gc|DEAD|NO_FILE
farfan_pipeline.phases.Phase_03.contracts.phase03_output_contract|DEAD|NO_FILE
farfan_pipeline.phases.Phase_07.phase7_10_00_macro_score|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_07/phase7_10_00_macro_score.py
farfan_pipeline.phases.Phase_04.primitives.phase4_00_00_types|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_04/primitives/phase4_00_00_types.py
farfan_pipeline.phases.Phase_06.phase6_10_00_cluster_score|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/phase6_10_00_cluster_score.py
orchestration.aggregation_integration|DEAD|NO_FILE
dotenv|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals.types|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signals/types/__init__.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vehicles/__init__.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vocabulary.signal_vocabulary|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vocabulary/signal_vocabulary.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.base_consumer|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/base_consumer.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase0.phase0_90_02_bootstrap|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase0/phase0_90_02_bootstrap.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase1.phase1_11_00_signal_enrichment|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase1/phase1_11_00_signal_enrichment.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_contract_consumer|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase2/phase2_contract_consumer.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_evidence_consumer|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase2/phase2_evidence_consumer.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase2.phase2_executor_consumer|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase2/phase2_executor_consumer.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase3.phase3_10_00_signal_enriched_scoring|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase3/phase3_10_00_signal_enriched_scoring.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase7.phase7_meso_consumer|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase7/phase7_meso_consumer.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.consumers.phase8.phase8_30_00_signal_enriched_recommendations|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/consumers/phase8/phase8_30_00_signal_enriched_recommendations.py
farfan_pipeline.infrastructure.extractors.structural_marker_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/structural_marker_extractor.py
farfan_pipeline.infrastructure.extractors.quantitative_triplet_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/quantitative_triplet_extractor.py
farfan_pipeline.infrastructure.extractors.normative_reference_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/normative_reference_extractor.py
farfan_pipeline.infrastructure.extractors.population_disaggregation_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/population_disaggregation_extractor.py
farfan_pipeline.infrastructure.extractors.temporal_consistency_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/temporal_consistency_extractor.py
farfan_pipeline.infrastructure.extractors.semantic_relationship_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/semantic_relationship_extractor.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_loader|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vehicles/signal_loader.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_irrigator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vehicles/signal_irrigator.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_context_scoper|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/vehicles/signal_context_scoper.py
